pid,doi,award_ids
articles:22355,10.1016/j.jastp.2018.11.016,"NNX14AE08G,NNX17AI39G"
articles:22243,10.1175/MWR-D-18-0223.1,"AGS1522830,AGS1641177"
articles:22339,10.1029/2018MS001512,DEAC0576RL01830
articles:22170,10.1038/s41561-018-0249-7,"1243107,DEAC0576RL01830"
articles:22311,10.1029/2018GL080474,"1852977,NA13OAR4310137,OCE1243015"
articles:22088,10.1007/s41116-018-0016-2,NNX16AH02G
articles:22234,10.1073/pnas.1813233115,"1243107,DESC0012711"
articles:22246,10.1029/2018GL080870,2.02E+13
articles:22247,10.1029/2018GL079938,2.02E+13
articles:22248,10.1029/2018GL079223,"1417642,NA15OAR4310167"
articles:22276,10.1029/2018MS001440,X13AF77G
articles:22209,10.1021/acs.est.8b03861,NNX16AD96G
articles:22142,10.3390/atmos9120462,EMW2015FP00888
articles:22117,10.1175/JAS-D-18-0031.1,DESC0016476
articles:22117,10.1175/JAS-D-18-0031.1,DESC0016476
articles:22175,10.5194/acp-18-16809-2018,NNX15AG71A
articles:22236,10.1029/2018GL078926,DESC0012711
articles:22259,10.1029/2018EF000984,DEAC3608GO28308
articles:22220,10.1029/2018JA025771,"80NSSC17K0719,NNX14AE08G,NNX17AI39G"
articles:22152,10.5194/angeo-36-1545-2018,X13AF77G
articles:22204,10.1029/2018GL079362,"97ER62402,NA13OAR4310138,OCE1243015"
articles:22199,10.1029/2018JD028306,AGS1552153
articles:22133,10.1088/1748-9326/aae6a9,AGS1243095
articles:22135,10.1175/JAMC-D-18-0036.1,NNX16AQ52G
articles:22085,10.1175/MWR-D-17-0345.1,DEAC0576RL01830
articles:22081,10.3390/atmos9110432,DEAC0576RL01830
articles:22254,10.1175/BAMS-D-17-0267.1,"1243107,DEAC0576RL01830"
articles:22251,10.1175/BAMS-D-18-0154.1,NA16OAR4310253
articles:22222,10.1029/2018MS001336,DESC0012605
articles:22096,10.1175/JTECH-D-18-0006.1,DTFAWA15D00036
articles:22137,10.1029/2018GL079408,"AGS1243107,DESC0012711"
articles:22279,10.1002/qj.3308,"NA13OAR4310138,OCE1243015"
articles:22025,10.1088/1748-9326/aae0ff,PLR1304220
articles:21931,10.1175/JAS-D-18-0105.1,DESC0016476
articles:21932,10.1175/JAS-D-18-0078.1,DESC0016476
articles:22156,10.1029/2018JG004680,2.02E+13
articles:22158,10.1029/2018JA025696,AGS1033112
articles:22181,10.1029/2018JC014275,SC0012605
articles:22090,10.1175/JTECH-D-17-0224.1,AGS1033112
articles:22033,10.1029/2018GL079000,2.02E+13
articles:21985,10.5194/gmd-11-3727-2018,NNX11AI51G
articles:22001,10.1029/2018JD029020,NNX15AE48G
articles:21999,10.1029/2018GL079022,DESC0012711
articles:22103,10.1029/2018SW001869,AGS1033112
articles:21950,10.1088/1748-9326/aad93c,2.02E+13
articles:22015,10.1175/BAMS-D-17-0098.1,"NA13OAR4310138,OCE1243015"
articles:22111,10.1175/BAMS-D-16-0236.1,AGS1243095
articles:22110,10.1175/BAMS-D-17-0164.1,AGS1243030
articles:22006,10.1029/2018GL078642,NNX15AQ66G
articles:22129,10.1002/joc.5694,1419563
articles:21886,10.5194/acp-18-11007-2018,NNX16AD96G
articles:21956,10.1029/2018GL078487,NNX13AF77G
articles:21830,10.1175/JCLI-D-17-0825.1,"NA16OAR4310170,OCE1243015"
articles:22057,10.1007/s13171-018-0129-7,DMS0707069
articles:21840,10.1175/MWR-D-17-0379.1,AGS1033112
articles:21850,10.1175/JAS-D-17-0164.1,DESC0016476
articles:21802,10.1175/WAF-D-17-0101.1,AGS1120459
articles:21761,10.1175/JCLI-D-17-0838.1,DESC0012711
articles:21834,10.5194/amt-11-4309-2018,AGS1522830
articles:21923,10.1029/2017JA025154,"80NSSC17K0013,NNX14AE06G"
articles:21836,10.5194/amt-11-4239-2018,AGS1522830
articles:21784,10.1007/s10291-018-0730-1,AGS1033112
articles:21863,10.1175/BAMS-D-16-0309.1,NA15OAR4590191
articles:21727,10.1002/wat2.1288,1419563
articles:22035,10.1088/1748-9326/aacf68,2.02E+13
articles:21815,10.1175/MWR-D-17-0265.1,NNL13AQ00C
articles:21785,10.1175/WCAS-D-17-0126.1,1331490
articles:21924,10.1002/eap.1752,EMW2011FP01124
articles:21763,10.5194/esd-9-895-2018,AGS1243095
articles:21732,10.5194/gmd-11-2455-2018,DEAC0576RL01830
articles:21769,10.1029/2018JD028285,DEAC0576RL01830
articles:21770,10.1029/2018JD028424,AGS1401803
articles:21740,10.1088/1748-9326/aac4bd,NNX16AO98G
articles:21868,10.1002/2017MS001227,"AGS1049057,DESC0006702"
articles:21716,10.1038/s41598-018-27127-4,NNL13AQ00C
articles:21623,10.1016/j.jastp.2017.07.024,"AGS1033112,AGS1339918,NNX13AF93G,NNX14AD84G"
articles:21660,10.1175/MWR-D-17-0295.1,AGS1243030
articles:21792,10.1175/JAMC-D-17-0337.1,NNX15AQ66G
articles:22141,10.3390/fire1010006,EMW2015FP00888
articles:21791,10.1175/WAF-D-17-0144.1,NA15OAR4590191
articles:21873,10.1029/2018RG000600,DESC0012606
articles:21746,10.1175/JAS-D-17-0389.1,DESC0016476
articles:21814,10.1175/MWR-D-17-0384.1,AGS0856145
articles:21871,10.1029/2018JA025464,NNX16AB82G
articles:21688,10.1007/s00382-017-3893-5,1235231
articles:21676,10.5194/acp-18-7509-2018,NNX15AE38G
articles:21692,10.5194/amt-11-3091-2018,"AGS1522830,NNX16AK37G"
articles:21720,10.1029/2018GL077867,AGS1552153
articles:21747,10.1029/2018JD028425,NNX14AN47G
articles:21673,10.1088/1748-9326/aab9df,"20156700323460,NA17OAR4310134"
articles:21753,10.1029/2017JG004348,"20156700323489,AGS1243095"
articles:21698,10.1029/2018GL077510,X13AF77G
articles:21696,10.1029/2018GL077723,NNX16AB82G
articles:21693,10.1002/2017JD028146,DEAC0576RL01830
articles:21625,10.5194/amt-11-2567-2018,"AGS1522830,AGS1641177"
articles:21750,10.1029/2017MS001219,DEAC0576RL01830
articles:21752,10.1029/2018EF000825,DESC0012711
articles:21584,10.1175/JCLI-D-17-0270.1,"NA13OAR4310138,OCE1243015"
articles:21702,10.1175/JAS-D-17-0295.1,DESC0016476
articles:21704,10.1175/JAMC-D-17-0137.1,DEEE0005373
articles:21864,10.1002/joc.5512,AGS1243030
articles:21683,10.1029/2017JD028030,"NNX14AD83G,NNX16AF90G"
articles:21610,10.1186/s13071-018-2808-6,NNX16AO98G
articles:22290,10.1093/jme/tjy060,CC999999
articles:21632,10.1002/2017JD027782,AGS1552153
articles:21568,10.5194/acp-18-5001-2018,NNX12AD04G
articles:21655,10.1002/2017MS001157,DEAC0576RL01830
articles:21758,10.1175/JHM-D-17-0238.1,DESC0012711
articles:21654,10.1002/2017SW001756,AGS1033112
articles:21706,10.1002/2017JA025107,"AGS1033112,AGS1552153"
articles:21592,10.1002/2017JD027688,NNX10AR40G
articles:21530,10.1002/2018JD028377,2.02E+13
articles:21534,10.1002/2017JD028168,2.02E+13
articles:21511,10.1016/j.agrformet.2017.11.012,2.02E+13
articles:21595,10.1002/2017JA024746,"80NSSC17K0013,NNX14AE06G,NNX17AI42G"
articles:21535,10.1175/JAMC-D-17-0113.1,AGS1419563
articles:21482,10.5194/amt-11-1061-2018,NNX15AK98G
articles:21211,10.1017/jfm.2017.833,DESC0012605
articles:21487,10.1002/2017GL076950,NNX16AB82G
articles:21486,10.1002/2017GL075989,AGS1033112
articles:21333,10.1016/j.agrformet.2017.11.030,EF1048481
articles:21379,10.1007/s10584-016-1779-x,"AGS1243095,NNX10AK79G"
articles:21377,10.1007/s10584-016-1775-1,NNX10AK79G
articles:21378,10.1007/s10584-015-1513-0,AGS1419563
articles:21365,10.1007/s10584-016-1679-0,GEO1010204
articles:21363,10.1007/s10584-016-1776-0,"AGS1243095,NNX10AK79G"
articles:21366,10.1007/s10584-016-1791-1,AGS1243095
articles:21387,10.1007/s10584-015-1504-1,"AGS1243095,NNX10AK79G"
articles:21372,10.1007/s10584-017-2133-7,AGS1243095
articles:21504,10.1175/BAMS-D-16-0206.1,1501993
articles:21506,10.1175/BAMS-D-17-0107.1,SC0012711
articles:21553,10.1175/MWR-D-17-0297.1,NA15OAR4590191
articles:21519,10.1002/2017JA025010,"NNX13AE20G,NNX14AE06G"
articles:21521,10.1175/JAMC-D-17-0164.1,"NNX13AH73G,NNX16AP28G"
articles:21601,10.1002/2017MS001232,"NNX14AE06G,NNX16AB82G,NNX17AI42G"
articles:21398,10.1002/2017JA024998,"NNX13AE20G,NNX14AD83G,NNX14AE06G,NNX16AB82G"
articles:21389,10.1002/2017GL076226,PLR1341527
articles:21524,10.1002/2017JA024683,"AGS1552153,NNX14AE08G,NNX17AI39G"
articles:21288,10.1002/2017JD027521,NNX15AE38G
articles:21246,10.5194/gmd-11-235-2018,968657
articles:21250,10.5194/gmd-11-103-2018,DESC0016476
articles:21250,10.5194/gmd-11-103-2018,DESC0016476
articles:21252,10.5194/acp-18-259-2018,AGS1033112
articles:21252,10.5194/acp-18-259-2018,AGS1033112
articles:21297,10.1002/2017JD027605,NNX12AD04G
articles:21346,10.1002/2017EF000709,DESC0012711
articles:21326,10.1175/BAMS-D-16-0221.1,DEEE0006016
articles:21556,10.1175/MWR-D-17-0186.1,NNX15AQ66G
articles:21397,10.1002/2017JA024715,AGS1339918
articles:21396,10.1175/JCLI-D-17-0193.1,"NA13OAR4310137,OCE1243015"
articles:21490,10.1175/JAS-D-17-0108.1,NNX16AK37G
articles:21149,10.1038/s41467-017-01302-z,"1243107,DESC0012711"
articles:21421,10.1038/s41558-017-0004-x,1243095
articles:21073,10.1038/s41467-017-00820-0,1417642
articles:21305,10.1002/2017GL076043,R11AC80816
articles:21422,10.1038/s41558-017-0007-7,AGS1048829
articles:21406,10.5194/cp-13-1851-2017,AGS1243107
articles:21234,10.1002/2017JD026868,DEAC0576RL01830
articles:21229,10.1002/2017JD026874,DEAC0576RL01830
articles:21230,10.1002/2017JD027006,DEAC0576RL01830
articles:21231,10.1002/2017JD026888,DEAC0576RL01830
articles:21410,10.5194/acp-17-14709-2017,DESC0016476
articles:21234,10.1002/2017JD026868,DEAC0576RL01830
articles:21232,10.1002/2017JD026912,DEAC0576RL01830
articles:21415,10.1051/swsc/2017034,1243107
articles:21237,10.1175/BAMS-D-16-0058.1,1331490
articles:21542,10.1175/MWR-D-17-0051.1,1331490
articles:21539,10.1175/MWR-D-16-0385.1,"DESC0008648,DESC0016476"
articles:21307,10.1175/JTECH-D-17-0111.1,298377
articles:21242,10.1002/2017GL075034,NA17OAR4310145
articles:21243,10.1002/2017GL074904,"NA13OAR4310138,NA17OAR4310145,OCE1243015"
articles:21148,10.1007/s00382-017-3524-1,NNX15AE48G
articles:21170,10.3847/1538-4365/aa8ef8,NNX13AE95G
articles:21168,10.5194/gmd-10-4005-2017,1243107
articles:21181,10.1021/acs.est.7b02436,1211668
articles:21193,10.1175/JCLI-D-16-0851.1,AGS1048829
articles:21194,10.1175/JCLI-D-16-0920.1,"AGS1243107,DESC0012711"
articles:21348,10.1175/MWR-D-17-0015.1,AGS0856145
articles:21352,10.1175/MWR-D-17-0145.1,M0856145
articles:21349,10.1175/MWR-D-17-0011.1,AGS1120459
articles:21437,10.1038/nclimate3421,"AGS1048996,ARC1048987"
articles:21437,10.1038/nclimate3421,"AGS1048996,ARC1048987"
articles:21162,10.1002/2017GL075641,OPP1443726
articles:21132,10.1002/2017JD027257,NNX11AI51G
articles:21150,10.1002/2017GL075079,PLR1341527
articles:21285,10.1002/2017JA024341,"AGS1339918,AGS1522830,NNX13AF93G,NNX14AD84G,NNX15AK75G"
articles:21121,10.1073/pnas.1704512114,DESC0006744
articles:21249,10.2151/sola.13A-005,"AGS1138784,NNX16AB82G"
articles:21161,10.1175/BAMS-D-16-0182.1,DEAC0576RL01830
articles:21164,10.1175/JPO-D-17-0130.1,1501993
articles:21089,10.1175/JCLI-D-16-0316.1,M0856145
articles:21446,10.1175/WAF-D-16-0224.1,10002
articles:21449,10.1175/WCAS-D-16-0125.1,NNX10AK79G
articles:21438,10.1002/2017GL075643,"NNX13AE20G,NNX14AE06G"
articles:21207,10.1109/COMST.2017.2746083,OCI1127341
articles:21199,10.1175/JTECH-D-17-0038.1,AGS0856145
articles:21255,10.1007/s11214-017-0415-z,NNX14AP03G
articles:21452,10.1038/nclimate3393,AGS1419563
articles:21452,10.1038/nclimate3393,AGS1419563
articles:21200,10.1002/2017JD027061,NNX14AF92G
articles:21123,10.1002/2017JD027158,NNX14AF92G
articles:21139,10.1002/2016JA023646,UDRT0006
articles:21203,10.1002/2017JD026748,"AGS1138784,NNX16AB82G"
articles:21141,10.1002/2016MS000749,N999999
articles:21033,10.3847/1538-4357/aa85a0,NNX13AJ04A
articles:21092,10.3390/s17092072,AGS1120459
articles:21455,10.1002/2017JD026622,DESC0016476
articles:21122,10.1175/JAMC-D-17-0076.1,NNX16AP28G
articles:21062,10.1002/2017MS000993,968657
articles:20977,10.5194/acp-17-9917-2017,NNX11AH90G
articles:21004,10.1002/2017GL074274,DESC0012606
articles:20956,10.1007/s00382-015-2787-7,"NA13OAR4310138,OCE1243015"
articles:20981,10.1039/C7FD00011A,1211668
articles:21046,10.1175/MWR-D-16-0410.1,NA15OAR4590238
articles:21011,10.1175/JHM-D-17-0011.1,2.02E+13
articles:21010,10.1175/JHM-D-16-0284.1,R11AC80816
articles:21029,10.1175/JAS-D-17-0067.1,NNX14AD83G
articles:20968,10.1002/2016MS000866,2.02E+13
articles:20983,10.1002/2017GL074117,"NA11NWS4620014,R15AC00049"
articles:20918,10.5194/hess-21-3701-2017,N999999
articles:20919,10.5194/amt-10-2533-2017,NNG15HQ03C
articles:20964,10.1002/2017JA024314,NNX13AE15G
articles:20967,10.1002/2017MS000960,DEAC3608GO28308
articles:20839,10.1088/1748-9326/aa7036,1211668
articles:19851,10.1175/JCLI-D-16-0228.1,DESC0006743
articles:20905,10.1175/JAS-D-16-0255.1,DESC0016476
articles:20907,10.1002/2017GL073537,DEAC3608GO28308
articles:20847,10.1002/2016JD026245,NNX11AI51G
articles:20853,10.1175/BAMS-D-15-00255.1,ATM0753581M0856145
articles:20897,10.1002/joc.4903,2.02E+13
articles:20927,10.1002/2016MS000839,NNX10AO53A
articles:20926,10.1175/JHM-D-16-0259.1,"1254557,R11AC80816"
articles:20912,10.1002/2017JA024273,NNX13AF77G
articles:20911,10.1002/2017JA024232,NNX14AE06G
articles:19822,10.1002/2017GL073253,R11AC80816
articles:19825,10.1002/2017GL073361,"NNX13AE20G,NNX14AE06G"
articles:19783,10.1175/JAS-D-16-0166.1,49A03A
articles:19782,10.1175/JAS-D-17-0043.1,DESC0016476
articles:19761,10.1016/j.epsl.2017.03.006,1418411
articles:20928,10.1175/JHM-D-16-0263.1,DESC0012711
articles:20882,10.1002/2016JC012580,NNX10AC16G
articles:19780,10.1175/JAS-D-16-0305.1,"NA14OAR4310224,NNX13AH92G"
articles:19735,10.1175/MWR-D-16-0308.1,AGS0856145
articles:19765,10.5194/tc-11-989-2017,"1517544,PLR1304220"
articles:19766,10.1002/2017GL072792,X09AJ83G
articles:19741,10.5194/acp-17-4731-2017,DEAC0576RL01830
articles:19693,10.1371/journal.pone.0175418,1448480
articles:19594,10.5194/acp-17-4493-2017,"AGS1033112,AGS1522830"
articles:21034,10.1007/s11214-017-0330-3,NNX14AP03G
articles:19772,10.1016/j.jastp.2017.03.007,"AGS1339918,NNX13AF93G,NNX14AD84G"
articles:19754,10.1002/2016JA023353,AGS1138784
articles:19771,10.1175/JCLI-D-16-0127.1,"NA13OAR4310138,OCE1243015"
articles:19806,10.1002/2016JA023520,"NNX14AE06G,NNX14AE08G"
articles:19805,10.1002/2016JA023825,NNX16AH06G
articles:19672,10.3847/1538-4365/229/1/6,NNX13AE95G
articles:19670,10.3847/1538-4365/229/1/8,NNX13AE95G
articles:19671,10.3847/1538-4365/229/1/5,NNX13AE95G
articles:19669,10.3847/1538-4365/229/1/9,NNX13AE95G
articles:19668,10.3847/1538-4365/aa582f,NNX13AE95G
articles:19666,10.3847/1538-4365/229/1/13,NNX13AE95G
articles:19686,10.3847/1538-4365/aa5830,NNX13AE95G
articles:19685,10.3847/1538-4365/229/1/11,NNX13AE95G
articles:19687,10.3847/1538-4365/229/1/4,NNX13AE95G
articles:19682,10.3847/1538-4365/229/1/7,NNX13AE95G
articles:19683,10.3847/1538-4365/229/1/15,NNX13AE95G
articles:19684,10.3847/1538-4365/229/1/2,NNX13AE95G
articles:19667,10.3847/1538-4365/229/1/3,NNX13AE95G
articles:19593,10.5194/amt-10-1093-2017,"AGS1522830,NNX12AQ18G"
articles:19847,10.3354/cr01442,"10,488,291,419,563"
articles:21287,10.1525/elementa.208,NNX14AE84G
articles:21470,10.1126/sciadv.1601545,DESC0012711
articles:21468,10.1038/nclimate3239,DESC0012711
articles:21468,10.1038/nclimate3239,DESC0012711
articles:19531,10.1007/s10546-016-0205-2,2.02E+13
articles:19674,10.1175/BAMS-D-15-00135.1,DEAC0576RL01830
articles:19516,10.1007/s13253-016-0270-5,1211668
articles:19713,10.1007/s11214-016-0273-0,AGS1522830
articles:19714,10.1007/s11214-016-0271-2,M0856145
articles:19708,10.1007/s11214-016-0269-9,NNX14AE08G
articles:19709,10.1007/s11214-016-0320-x,NNX14AE08G
articles:19636,10.1002/joc.4819,2.02E+13
articles:19517,10.1175/JAS-D-15-0370.1,M0856145
articles:19728,10.1175/JAS-D-16-0234.1,DESC0008648
articles:19464,10.1175/JHM-D-16-0102.1,M0856145
articles:19730,10.1175/JAS-D-16-0226.1,NNX14AD83G
articles:19657,10.1175/JCLI-D-16-0144.1,"AGS1120459,NA11NWS4620014"
articles:19466,10.1175/JHM-D-16-0125.1,AGS1243030
articles:19530,10.1002/2016GL072475,DESC0012711
articles:19546,10.1002/2016GL071892,NNX15AE38G
articles:19612,10.1002/2016JD025740,2.02E+13
articles:19549,10.5194/gmd-10-537-2017,DEAC0576RL01830
articles:19542,10.5194/angeo-35-181-2017,AGS1138784
articles:19623,10.1175/JAMC-D-16-0205.1,DTFAWA15D00036
articles:19629,10.1175/JCLI-D-16-0524.1,NA14OAR4310224
articles:19625,10.1175/JAMC-D-16-0312.1,DTFAWA15D00036
articles:19630,10.1175/WAF-D-16-0125.1,DTFAWA15D00036
articles:19627,10.1002/2016JA023688,AGS1339918
articles:19535,10.1007/s00382-016-3116-5,"10,488,291,048,841"
articles:19534,10.1002/2016GL071805,"1237211,1418411,DESC0012606"
articles:19521,10.5194/gmd-10-321-2017,EF1048481
articles:19505,10.1038/nclimate3168,AGS1048829
articles:19600,10.1002/2016JA023124,NNX14AE08G
articles:19361,10.1016/j.ocemod.2016.12.001,DESC0006768
articles:19491,10.1175/JAMC-D-16-0230.1,NNX13AH73G
articles:19490,10.1175/JAMC-D-16-0132.1,2.02E+13
articles:19461,10.1175/JCLI-D-16-0050.1,NNX12AH90G
articles:19601,10.1002/2016JA023560,"AGS1339918,NNX13AF93G"
articles:19501,10.1016/j.gloenvcha.2015.03.008,DESC0006704
articles:19487,10.1002/joc.4706,AGS1048829
articles:19395,10.1175/BAMS-D-14-00272.1,N999999
articles:19387,10.1175/JAMC-D-16-0183.1,DEEE0006016
articles:19334,10.1175/MWR-D-16-0063.1,DEEE0005374
articles:19488,10.1175/JAS-D-16-0104.1,X09AJ83G
articles:19473,10.1002/2016WR019545,AGS1243030
articles:19430,10.1016/j.scitotenv.2016.10.069,1211668
articles:20981,10.1039/C7FD00011A,1211668
articles:19320,10.1007/s10113-016-1082-4,GEO1211668
articles:19462,10.3847/1538-4357/834/1/10,NNX13AK54G
articles:19456,10.1002/2016JD025597,"20156700323460,NA14OAR4310186"
articles:19505,10.1038/nclimate3168,AGS1048829
articles:19480,10.1002/2016JA023038,AGS1033112
articles:19441,10.1175/JAS-D-16-0126.1,NNX11AC07G
articles:19467,10.1002/2016MS000727,DEAC0576RL01830
articles:19404,10.1007/s00382-016-3057-z,DESC0012711
articles:19322,10.1175/JAS-D-16-0167.1,NNX15AE48G
articles:19370,10.1175/EI-D-15-0048.1,"GEO1010204,NNX14AI89G"
articles:19471,10.1002/2016GL071267,NNX11AC07G
articles:19347,10.1002/2016JD025322,"10,488,291,419,563"
articles:18915,10.5194/ascmo-2-137-2016,AGS1243030
articles:18733,10.1175/JCLI-D-15-0618.1,DESC0012711
articles:18939,10.1175/JHM-D-16-0028.1,M0856145
articles:18913,10.1175/MWR-D-16-0021.1,AGS0856145
articles:19440,10.1002/ecs2.1559,DEAC0576RL01830
articles:19352,10.3390/w8110491,"DESC0012711,NSFAGS1243107"
articles:18749,10.1021/acs.est.6b02602,1211668
articles:18630,10.1002/asi.23721,1448480
articles:18893,10.1038/nclimate3103,1235231
articles:18742,10.1175/JCLI-D-15-0782.1,DESC0012711
articles:18743,10.1175/JCLI-D-16-0339.1,DESC0012711
articles:18909,10.1175/WAF-D-16-0073.1,NA15OAR4590191
articles:18896,10.1175/JCLI-D-15-0651.1,1203539
articles:18699,10.1016/j.esd.2016.07.007,1211668
articles:18704,10.1016/j.solener.2016.06.003,DEAC3608GO28308
articles:18819,10.1175/JAS-D-15-0365.1,NNX11AC07G
articles:19273,10.1175/JPO-D-15-0202.1,NNX10AC16G
articles:19332,10.1002/2016JA023058,"NNX12AJ54G,NNX13AE20G,NNX14AE06G"
articles:18950,10.1002/2016JD024941,NNX13AH73G
articles:18883,10.1002/2015JD024173,NNX12AD04G
articles:19304,10.1002/2016GL070356,"1401803,DESC0006744"
articles:18646,10.1016/j.jcp.2016.05.026,DMS0934317
articles:18796,10.5194/gmd-9-2973-2016,2.02E+13
articles:19293,10.1016/j.ocemod.2016.08.002,SC0006769
articles:18496,10.1016/j.atmosenv.2016.06.001,"NNX09AH03G,NNX11AG63G,NNX11AI10G"
articles:18889,10.1002/2016JA022598,AGS1408789
articles:18756,10.1175/JAS-D-15-0367.1,DESC0008648
articles:18759,10.1175/MWR-D-16-0104.1,DEEE0006016
articles:18876,10.1002/2016SW001450,AGS1138784
articles:18863,10.1175/JAMC-D-15-0290.1,NNX13AH73G
articles:19296,10.1002/2016JA023043,"AGS1339918,NNX13AF77G,NNX13AF93G,NNX14AD84G,NNX15AK75G"
articles:19305,10.1002/2016JA022984,AGS1033112
articles:18707,10.1002/2016GL069834,"AGS1339918,NNX13AF93G,NNX15AK75G"
articles:18782,10.5194/amt-9-3999-2016,NNG15HQ03C
articles:18725,10.5194/acp-16-10229-2016,NNX11AE19G
articles:18652,10.1038/srep31245,"1243107,DESC0012711"
articles:18647,10.1016/j.jastp.2016.06.003,AGS1339918
articles:18658,10.1175/MWR-D-16-0094.1,"DTFAWA15D00036,NA09NWS4670001"
articles:18653,10.1175/MWR-D-15-0368.1,DESC0008648
articles:18560,10.1016/j.solener.2016.04.016,DEEE0006016
articles:18722,10.1002/2016JA022882,"NNX12AJ54G,NNX14AE06G"
articles:18727,10.1002/2016JA022910,"AGS1138784,AGS1522830,NNX13AF77G,NNX14AP03G"
articles:18783,10.1002/2016JA022871,AGS1408789
articles:19301,10.1002/2016JA023072,"NNX12AJ54G,NNX14AE06G"
articles:18684,10.1088/1748-9326/11/8/084003,DESC0006704
articles:18671,10.1002/2016JD025274,968657
articles:18822,10.5194/os-12-925-2016,DESC0012711
