pid,doi,wos_award_ids,crossref_award_ids,kuali_verified_award_ids
articles:22614,10.1175/JHM-D-18-0220.1,"91537211,91537105","91537211,91537105,Water system",
articles:22615,10.1175/JCLI-D-18-0735.1,"NSF-OCE-12-59102,NSF-OCE-12-59103,NA13OAR4310138,OCE-1243015,NE/K010875,NE/N018044/1,NA17OAR4310111,OCE-1242989,NNX16AC93G-MAP","NSF-OCE-12-59102, NSF-OCE-12-59103,NA13OAR4310138,NE/K010875, NE/N018044/1,NA17OAR4310111,OCE-1242989,NNX16AC93G-MAP,OCE-1243015","NA13OAR4310138,OCE1243015"
articles:22612,10.1175/JCLI-D-18-0872.1,,N/A,
articles:22613,10.1175/JPO-D-19-0003.1,"OCE-1829515,AGS-1429921","OCE-1829515,AGS-1429921",
articles:22611,10.1175/JCLI-D-18-0823.1,"DE-FC02-97ER62402,DE-AC02-05CH11231,NA14OAR4310224","DE-FC02-97ER62402,NA14OAR4310224",NA14OAR4310224
articles:22616,10.1175/MWR-D-19-0030.1,824.15.013,824.15.013,
articles:22624,10.1175/MWR-D-18-0389.1,,,
articles:22576,10.1175/JAS-D-18-0264.1,"2017YFC1501601,41875067","2017YFC1501601,41875067",
articles:22577,10.1016/j.parco.2019.01.005,,,
articles:22631,10.1175/JTECH-D-19-0019.1,,,
articles:22632,10.1175/MWR-D-19-0043.1,,,
articles:22670,10.1175/MWR-D-19-0006.1,,n/a,
articles:22548,10.1007/s00382-018-4553-0,OCE 1419569,"PACE Fellowship,OCE 1419569",
articles:22666,10.1073/pnas.1900613116,"OPP1107695,PLR1417668,OPP1417906,PLR1103423,09-IDS09-31,NNX14AP44G","OPP1107695,PLR1417668,1417906,1103423,09-IDS09-31,NNX14AP44G",
articles:22617,10.5194/hess-23-2715-2019,28006-N32,28006-N32,
articles:22619,10.3389/fmars.2019.00300,,,
technotes:578,10.5065/5frb-ws04,,,
articles:22636,10.1029/2018EF001146,"229760/E10,250740,229771","229760/E10,229771,250740",
articles:22566,10.3847/1538-4357/ab1b24,,,
articles:22580,10.3389/fmars.2019.00260,"OCE-1259013,OSNAP NE/K010875/1,2016YFA0601803,201424001,FP7 2007-2013: NACLIM308299,727852,678760,633211,OCE1332978,OCE-0726720,1332667,1332834,OCE1536517,OCE1536586,OCE1536851,1852977,NE/M005046/1,100007298,11-ANR-56-004,CNPq: 302018/2014-0,2011/50552-4,2017/09659-6,03F0443C,03F0605C,03F0561C,03F0792A,EXC 2037,390683824,CMEMS: 23-GLO-RAN LOT 3,OCE-1259013,727852,03F0605B,03F0824C,NNX16AO39H,41521091,U1606402",,1852977
articles:22581,10.5194/amt-12-3067-2019,"NE/P012426/1,NE/L013584/1",NE/L013584/1,
articles:22582,10.5194/acp-19-7409-2019,"2017YFC1501406,41807312,IUMKYSZHJ201701",41807312,
articles:22583,10.1021/jacs.9b02890,"ERC-2016-COG 726349 CLIMAHAL,CTQ2017-87054-C2-2-P,RYC-2015-19234,MDM-2015-0538,PRE 2018 2 0200","CTQ2017-87054-C2-2-P,CTQ2017-87054-C2-2-P,ERC-2016-COG 726349,MDM-2015-0538",
articles:22569,10.3389/fmars.2019.00277,"633211,730960,654310,1143683,312463,EAPA_182/2016,776740,OCE-1840868,1728913,NNX14AP62A,NOPP RFP NOAA-NOS-IOOS-2014-2003803",,
articles:22584,10.1021/acs.est.8b06155,"R835424,1211668","R835424,1211668",1211668
articles:22572,10.5194/acp-19-7255-2019,"AGS-1523500,1852977,1852977","AGS-1523500,1745301",1852977
articles:22571,10.5194/tc-13-1547-2019,"024.002.001,DE-SC0016605",,
articles:22491,10.1175/WAF-D-18-0087.1,DTFAWA-15-D-00036,DTFAWA-15-D-00036,DTFAWA15D00036
articles:22492,10.1061/(ASCE)WR.1943-5452.0001073,NA16OAR4590240,,
articles:22510,10.1175/JCLI-D-18-0273.1,"UHS11005,DE-FC02-97ER62402,CE170100023,CE110001028,NE/N006054/1,200021 169241,200020 182239,q90,FoRCES 4012","UHS11005,CE170100023,CE110001028,CE110001028,CE110001028,DE-FC02-97ER62402,NE/N006054/1,q90,FoRCES 4012,FoRCES 4012,200021 169241 (VEC),200020 182239 (POLE)",
articles:22511,10.1016/j.atmosenv.2019.02.048,,,
articles:22466,10.1007/s00376-019-8172-4,"NA16AOR4320115,NA11OAR4320072,AGS-1341878",,
articles:22535,10.1175/JCLI-D-18-0607.1,"2017YFA0603202,2016YFC1401705,P28818,AGS-1243125,DE-SC0012711","2017YFA0603202,P28818,AGS-1243125,DE- SC0012711",DESC0012711
articles:22536,10.1175/JTECH-D-18-0111.1,"AGS-1445831,DE-AC02-06CH11357,AGS-1445832","AGS-1445831,DE-AC02-06CH11357,AGS-1445832",
articles:22521,10.1175/MWR-D-18-0281.1,"AGS-1445813,AGS-1445832,AGS-1445831,DGE-1762114,DE-AC02-06CH11357","AGS-1445813,AGS-1445832,AGS-1445831,DGE-1762114,DE-AC02-06CH11357",
articles:22522,10.1175/MWR-D-18-0025.1,"41605076,41505088,2017YFC1502102","41605076,41505088",
articles:22552,10.1007/s00382-017-3573-5,AGS 1243125,,
articles:22586,10.1175/WAF-D-18-0187.1,"DTFACT-17-X-80002,2018-22-0021",2018-22-0021,
articles:22585,10.1016/j.solener.2019.03.068,,,
articles:22550,10.1175/JAS-D-18-0319.1,"AGS-1433201,AGS-1824243","AGS-1433201,AGS-1824243",
articles:22549,10.1175/JAS-D-18-0296.1,DE-AC52-07NA27344,,
articles:22551,10.1016/j.jid.2018.11.030,"P01CA206980,R01CA112243,U01CA83180,R01CA112524,R01CA098438,R03CA125829,R03CA173806,P30CA016086,P30CA014089,P30CA008748,P30ES010126,1147843,15/CDF/1-14","P01CA206980,R01CA112243,R01CA112524",
articles:22587,10.1175/JAS-D-18-0187.1,DE-SC0016354,"DE-SC0016354,C160190",
articles:22530,10.1007/s00024-018-1849-2,,,
articles:22573,10.3847/1538-4357/ab1907,"FA9550-15-1-0030,P1504,1852977",,1852977
articles:22523,10.1002/hyp.13422,,,
articles:22553,10.3389/fmars.2019.00241,"NNX16AJ87A,SA16-33,IF/00029/2014/CP1230/CT0002,731036,NE/R015953/1,31003A_179125,IF/01194/2013,IF/01194/2013/CP1199/CT0002,GA 678760,GA 689518",,"IF000292014CP1230CT0002,IF011942013CP1199CT0002"
articles:22592,10.1029/2019JA026678,"1135432,NNX14AH54G,NNX15AJ24G,NNX16AB82G,1852977","1852977,1135432,NNX16AB82G,NNX15AJ24G,NNX14AH54G","1852977,NNX16AB82G"
articles:22567,10.1029/2019GL082034,"NNX15AJ23G,NNX15AH33A,NNX15AG70A,NNX15AG61A,NNX15AG71A,NNH15AB12I,NNX15AJ91A,1852977","1852977,NNX15AJ23G,NNX15AH33A,NNX15AG70A,NNX15AG61A,NNX15AG71A,NNH15AB12I,NNX15AJ91A","1852977,NNX15AG70A,NNX15AG71A"
articles:22579,10.1073/pnas.1900278116,"NNX16AP33G,NNX17AE14G,NNX15AH95G,7094866","NNX16AP33G,80NSSC18K0895,NNX15AH95G,N/A",
articles:22537,10.1051/0004-6361/201935272,DNRF106,,
articles:22538,10.5194/acp-19-6681-2019,162015,162015,
articles:22540,10.1016/j.cub.2019.04.001,"DP180102392,FT140101192,DP130103261",,
articles:22570,10.1073/pnas.1821661116,"NNX14AP48G,NNX17AH47G,1524860","EVS-2,NNX14AP48G,Upper Atmospheric Research Program,Tropospheric Composition Program,NASA Postdoctoral Program,NNX17AH47G,Modeling and Analysis Program,1524860",
articles:22647,10.1029/2018JD030086,,,
articles:22539,10.3847/1538-4357/ab0e04,,,
articles:22524,10.5194/amt-12-2819-2019,,,
articles:22554,10.1029/2018JD030120,R835422,,
articles:22557,10.1080/02786826.2019.1610554,,,
articles:22556,10.1029/2019GL082270,"401873/2016-1,01.13.0353-00,NA14OAR4310276",401873/2016‐1,
articles:22555,10.1029/2018GL081386,"NNX17AH35G,80NSSC17K0564","80NSSC17K0564,NNX17AH35G",
articles:22525,10.5194/tc-13-1441-2019,"80NM0018D0004,1852977,JP16H02224,JP17H06104,JP17H06323,308299,57001,DEAC02-05CH11231,FKZ: 01LP1511B,339108,ANR-15-CE01-0005-01,2017-016066,CPER07_13 CIRA,ANR10 LABX56,ANR-10-EQPX-29-01,LE1448/6-1,LE1448/7-1,WI 4556/4-1,NNX17AG65G,PLR-1603799,PLR-1644277,pr94ga,1443229,15-VUW-131","ANR-15-CE01-0005-01,N/A,61841,339108,308299,JP17H06323,JP17H06104,JP16H02224,NNX17AG65G,N/A,LE1448/7-1,LE1448/6-1,1443229,N/A",1852977
articles:22526,10.5194/amt-12-2693-2019,"ESP2014-54362-P,STI 210/9-2",,
articles:22574,10.1038/s41597-019-0023-8,"01LN1317A,308393,603542,211-2009-1682","211-2009-1682,308393,603542",
articles:22495,10.1002/wcc.577,"FT160100029,DE160100092,CE170100023,CE110001028,DE-FC02-97ER62402",,
articles:22512,10.1051/swsc/2019007,,,
articles:22317,10.1016/j.atmosres.2019.01.002,LP160101494,LP160101494,
articles:22478,10.1175/JCLI-D-18-0458.1,"ark:/85065/d7wd3xhc,DGE1144086,NNX17AI75G,IBS-R028-D1,NA14OAR4310276,1304270,NA15OAR4320071","NA14OAR4310276,DGE-1144086,NNX17AI75G",
articles:22496,10.1175/JAMC-D-18-0211.1,"DE-EE0005373,DE-AC02-05CH11231","DE-EE0005373,AGS-1852977","AGS1852977,DEEE0005373"
articles:22497,10.1038/s41558-019-0456-2,"03F0654A,SA 1734/4-1",,
articles:22494,10.1002/wcc.582,,,
articles:22498,10.1175/JCLI-D-18-0232.1,"AGS-1642291,AGS-1642289,1744965,2017YFA0603503,DE-SC0014239,1501993","AGS-1642291,OPP-1744965,AGS-1642289,Grant 1501993",1501993
articles:22513,10.1175/JAS-D-18-0301.1,"NNX14AG68G,DE-SC0016476","NNX14AG68G,Rackham Predoctoral Fellowship,DE-SC0016476",DESC0016476
articles:22505,10.1016/j.asr.2019.01.036,"JA 836/38-1,18-505-12048,NNX17AG69G","JA 836/38-1,18-505-12048,NNX17AG69G",NNX17AG69G
articles:22493,10.1175/JCLI-D-18-0472.1,"AGS-1734760,AGS-1602581,AGS-1243204,NERC NE/P006809/1","AGS 1734760, AGS 1243204,NERC NE/p006809/1,AGS 1602581",
articles:22529,10.1007/s00382-018-4461-3,"N00014-13-1-0793,N00014-17-1-2986,GC15-504","GC15-504,N00014-13-1-0793",
articles:22514,10.1088/1748-9326/ab0bb9,83575402,,
articles:22467,10.1175/MWR-D-18-0275.1,,,
articles:22528,10.1175/JAMC-D-18-0185.1,"2015R1A5A1009350,KMI2018-01410","2015R1A5A1009350,KMI2018-01410",
articles:22527,10.1007/s00024-019-02168-6,2016-3100,,
articles:22596,10.1175/BAMS-D-17-0227.1,,,
articles:22541,10.1016/j.apr.2019.01.007,"2016YFC0203400,91644223,41430424,41730108,16DZ1204607","91644223,41430424,91644223,41730108,16DZ1204607",
articles:22620,10.1016/j.scib.2019.04.003,"41330421,41875052","41330421,41875052",
articles:22575,10.1029/2018EF001020,,,
articles:22588,10.1029/2019JA026691,"41831070,41674154,41874184,41325017,41804150,2017M622008","41831070,41674154,41874184,41325017,41804150,2017M622008,41325017,41874184,41674154,41831070",
articles:22590,10.1029/2019JA026533,"2018YFC1407305,41574158,U 1631107,KYCX170897,201708320321,BK20140994","BK20140994,U 1631107,41574158,2018YFC1407305",
articles:22589,10.1029/2018JA026380,AGS-1455470,AGS-1455470,
articles:22593,10.1029/2019PA003564,"1401778,1401802,1566432,DE-SC0006744,41630527","41630527,DE‐SC0006744",DESC0006744
articles:22591,10.1029/2018JA026082,"NNX14AD46G,FA9550-16-10059,FA9559-16-1-0364,FA9559-17-1-0248,AGS-1135446","AGS‐1135446,FA9559‐17‐1‐0248,FA9559‐16‐1‐0364,FA9550‐16‐1‐0059,NNX14AD46G",
articles:22595,10.1029/2019SW002184,"MOST 107-2111-M-006-001,NSPO-S-108004,AGS-1033112","MOST 107‐2111‐M‐006‐001,AGS‐1033112,NSPO‐S‐108004",AGS1033112
articles:22594,10.1175/BAMS-D-18-0319.1,,,
technotes:577,10.5065/nnt6-q689,,,
articles:22635,10.1029/2018EF001047,"TIP 304,R17AC00024",,
articles:22542,10.1029/2019GL082410,NA14OAR4320106,,
articles:22558,10.1029/2018JD030188,"229778,NE/K007483/1,NE/N006038/1,NE/K500872/1,243942,229771,207711/E10,nn2345k,ns2345k,S-12-3,15H01728,15 K12190","NE/K500872/1,NE/N006038/1,NE/K007483/1",
articles:22479,10.5194/acp-19-5511-2019,"12-NIW-006,AGS-1403676,NNX14AP58G,CE110001028,q90,FoRCES 4012","AGS-1403676,NNX14AP58G",
articles:22499,10.5194/esd-10-271-2019,"690462,338965-A2C2",,
articles:22532,10.3390/atmos10040214,"2017YFE0111700,LPCC2018001,LPCC2018005,SKLCS-OP-2019-09",,
articles:22468,10.5194/acp-19-5331-2019,"FP7-306284 - QUAERERE,703880","306284,Junior Research Fellowship",
articles:22504,10.3389/fspas.2019.00027,,,
articles:22469,10.5194/acp-19-5259-2019,SAW-2015-IAP-1 383,SAW-2015-IAP-1 383,
articles:22502,10.1029/2019GL082132,"AGS-1452317,AGS-1744537,AGS-1754019","AGS‐1452317,AGS‐1744537,AGS‐1754019",
articles:22500,10.1029/2018GL081529,DE-FC02-97ER62402,"DE‐FC02‐97ER62402,DE‐FC02‐97ER62402",
articles:22501,10.1029/2019GL081960,"NA16OAR4311082,2017YFC1404101,XDA11010203",NA16OAR4311082,
articles:22457,10.5194/angeo-37-235-2019,"200021-165516,AGS-1033112,18H01270,18H04446,17KK0095,11473045,11503040",,AGS1033112
articles:22328,10.1016/j.scitotenv.2019.01.145,"41807308,21777026,41641044,21477021,41275045","41807308,21777026,41641044,21477021,41275045",
articles:22373,10.1016/j.agrformet.2019.01.022,"41621061,41801179,2017M620664,2014CB954301","41621061,41801179,2017M620664,2014CB954301",
articles:22471,10.1364/OL.44.001900,,,
articles:22470,10.5194/acp-19-5069-2019,"32 CFR 168a,AGS-1608775,AGS-1547733,2016-T2/AMB-1405,CGL2017-83198-R,267760","NDSEG Fellowship, 32 CFR 168a,AGS-1547733,AGS-1608775,ACCI (Grant 267760)",
articles:22543,10.1016/j.apenergy.2019.01.252,308329,308329,
articles:22458,10.5194/acp-19-5051-2019,,,
articles:22433,10.1038/s41558-019-0418-8,"OCE-1558225,PLR-1543457,OCE-1459834,AGS-1641177",,AGS1641177
articles:22318,10.1016/j.scitotenv.2019.01.002,83575401,83575401,
articles:22453,10.5194/acp-19-4783-2019,,"105357-281945.02.31.03.01,102723-2.1.1",
articles:22459,10.5194/angeo-37-215-2019,"NNX15AI62G,NAS5-02099,PLR-1341359,AGS-1451911,FA9550-15-1-0179,FA9559-16-1-0364","NNX15AI62G,NAS5-02099,PLR-1341359,AGS-1451911,FA9550-15-1-0179,FA9559-16-1-0364",
books:681,10.1002/9781119428428.ch4,,,
usclivar:116,10.5065/q3jb-9642,,,
articles:22455,10.1088/1748-9326/ab09b3,"2015CB953901,1852977","Cooperative Agreement No. 1852977,2015CB953901",1852977
articles:22428,10.5194/acp-19-4269-2019,"NNX17AG39G,15K05296,18H01285","NNX17AG39G,18H01285",
articles:22559,10.1080/1354750X.2018.1548031,,,
articles:22454,10.5194/gmd-12-1241-2019,"606719,606953",606953,
articles:22292,10.1016/j.renene.2018.08.088,"2015R1A5A1037668,PM17020","2015R1A5A1037668,PM17020",
technotes:576,10.5065/1dfh-6p97,,,
articles:22414,10.1175/JCLI-D-18-0430.1,"41690122,41690120,41475101,41490644,41490640,U1406402","41690122(41690120), 41475101 and 41490644(41490640),U1406402",
articles:22413,10.1175/JAMC-D-18-0173.1,AGS-1547101,AGS- 1547101,
articles:22415,10.1016/j.coldregions.2019.02.005,"DGE-1041000,M054","SPR-P1(17) M054,DGE-1041000",
articles:22431,10.1175/JAS-D-18-0034.1,"NNH11AQ58UI,NNX13AO15G,3RR1GFK-P00,NNH14AX25I,NNH09ZDA001N-MACPEX,NNX11AC07G,FOR 1525,HO4612/1-1,HO4612/1-2,MO 668/4-1,MO 668/4-2","REKLIM,INUIT FOR 1525 HO4612/1-1, HO4612/1-2,INUIT FOR 1525 MO668/4-1, MO668/4-2,NNH11AQ58UI, grant no NNX13AO15G,NNH14AX25I,NNH09ZDA001N-MACPEX,NNX11AC07G,3RR1GFK-P00",NNX11AC07G
articles:22481,10.1175/WAF-D-18-0136.1,"105-2917-I-564-013,AGS-1033112","105-2917-I-564-013,AGS-1033112",AGS1033112
articles:22482,10.1007/s00704-018-2538-x,,,
articles:22503,10.1002/qj.3476,,,
articles:22460,10.1051/0004-6361/201834925,Schm-1168/10,Schm-1168/10,
articles:22461,10.1175/JCLI-D-18-0576.1,"NNX16AH60G,80NSSC18K0769,SC0006743,1852977","NNX16AH60G,80NSSC18K0769,SC0006743","1852977,80NSSC18K0769,NNX16AH60G,SC0006743"
articles:22519,10.1016/j.ocemod.2019.02.006,1852977,1852977,1852977
articles:22517,10.1175/BAMS-D-18-0002.1,"AGS-1439515,AGS-1439594,DE-SC0016354",,
articles:22516,10.1175/BAMS-D-18-0005.1,"DE-SC0016476,2016/23/B/ST10/00690,2017/25/B/ST/02383,26286089,18H04448",,DESC0016476
articles:22515,10.1175/BAMS-D-17-0185.1,0753581,,0753581
articles:22518,10.1029/2018MS001437,,,
articles:22473,10.1175/JHM-D-18-0064.1,NA17OAR4590183,"Z16-23488,NA17OAR4590183",
articles:22476,10.1175/MWR-D-18-0351.1,,n/a,
articles:22472,10.1175/JTECH-D-18-0105.1,AGS-1522830,AGS-1522830,AGS1522830
articles:22462,10.1175/JAMC-D-18-0029.1,"N0001418WX01087,N0001417WX02083","N0001417WX02083,N0001418WX01087",
technotes:576,10.5065/1dfh-6p97,,,
articles:22560,10.1016/j.pce.2019.01.001,2016YFC0203600,2016YFC0203600,
articles:22441,10.3855/jidc.10701,,,
articles:22533,10.1002/joc.5964,G13AC00387,G13AC00387,
articles:22474,10.1029/2018GL081316,"41722502,41575006,41521004,91637312,B 13045","91637312,41521004,41575006,41722502",
articles:22565,10.1029/2018JA026356,"80NSSC19K0258,AGS-1112704",AGS-1112704,
articles:22637,10.1002/qj.3520,"NA14NES4320003,5,5",NA14NES4320003,
articles:22564,10.1029/2018JA026175,"NNX14AH54G,NNX13AE15G,NNX14AE06G,NNX14AD83G,NNX15AB83G,NNX17AI42G,80NSSC17K0013","NNX14AH54G,NNX13AE15G,NNX14AE06G,NNX14AD83G,80NSSC17K0013,NNX17AI42G,NNX15AB83G,NNX14AD83G,NNX14AE06G,NNX13AE15G,NNX14AH54G","80NSSC17K0013,NNX13AE15G,NNX14AD83G,NNX14AE06G,NNX17AI42G"
articles:22435,10.5194/gmd-12-1139-2019,"GA01101,GA727862,GA01101,GA727862,NE/R005125/1,GA641727,PE16100,GA 727852,FKZ: 01LP1609A",,
articles:22434,10.5194/acp-19-3769-2019,"AGS1135882,AGS1734333,N000141712149,291332-CODITA","National Center for Atmospheric Research,291332 CODITA",
articles:22485,10.1029/2018MS001395,"DESC0005522,DESC0005783,N0001417WX00563,0612527,1108542,1603602,EP/K032208/1","DESC0005522,DESC0005783,0612527,1108542,1603602",
articles:22463,10.1029/2018EF001088,1331100,,
articles:22416,10.5194/acp-19-3621-2019,"DE-SC0014065,DE-SC0016476,SUBAWD000397,NNX16AD80G,AGS-1247404","NNX16AD80G,DE-SC0016476,DE-SC0014065,AGS-1247404",DESC0016476
articles:22534,10.3390/rs11060680,"EAR-1042906,EAR-0350028,EAR-1261833",,
articles:22417,10.3847/2041-8213/ab0e0e,"EMR/2014/000626,IUSSTF/JC011/2016",,
articles:22385,10.5194/amt-12-1755-2019,NAS5-03132,,
articles:22561,10.1029/2018JA026247,"41404148,BK20140994,FA9550-16-1-0364","41404148,BK20140994",
articles:22409,10.1029/2018JD029301,"2016-T2/AMB-1405,CGL2017-83198-R,CGL2015-69699,603557,VH-NG-1128,133814",,
articles:22429,10.1029/2018JD029151,"2-1505,2-1803,NNX16AD96G,NNX16AE16G,NNX17AG39G","NNX16AD96G,NNX16AE16G,NNX17AG39G",NNX16AD96G
articles:22436,10.1029/2018GL081530,"AGS-1360745,AGS-1360834,NNX15AT96G,STAR 83587701-0","STAR 83587701‐0,NNX15AT96G,AGS‐1360745,AGS‐1360834",
articles:22439,10.1029/2018JD029009,NNX15AH03G,NNX15AH03G,NNX15AH03G
articles:22440,10.1029/2018JD028892,"DE-AC05-00OR22725,DE-AC02-06CH11357,DE-AC02-05CH11231,DE-AC52-07NA27344,DE-AC05-76RL01830",,DEAC0576RL01830
articles:22438,10.1029/2018JD029593,"ESP2017-86263-C4-4-R,722337,SEV-2017-0709,PRX17/00078,BES-2014-069567","722337,BES-2014-069567,ESP2015-69909-C5-2-R,ESP2017-86263-C4-4-R,PRX17/00078",
articles:22437,10.1029/2019GL082155,"18H01270,18H04446,17KK0095","17KK0095,18H04446,18H01270",
articles:22267,10.1007/s00376-019-8276-x,"2017YFA0603202,2016YFC1401705",,
articles:22387,10.1038/s41467-019-09245-3,"2018YFA0606002,41875105,QYZDY-SSW-DQC012",,
articles:22386,10.1016/j.asr.2018.10.036,"16-05-01077,17-77-20009,CAS AGS-1033112","16-05-01077,17-77-20009,CAS AGS-1033112",AGS1033112
articles:22418,10.5194/hess-23-1469-2019,"NA11OAR4310205,AGS-1048829,AGS-1419563","NA11OAR4310205,AGS-1048829,AGS-1419563","AGS1048829,AGS1419563,NA11OAR4310205"
articles:22638,10.1002/qj.3503,730030,730030,
articles:22374,10.1073/pnas.1816541116,,,
articles:22388,10.5194/acp-19-3161-2019,"NE/L005271/1,AGS-1620530,AGS-1104104,NE/J00619X/1",,
articles:22262,10.1016/j.scitotenv.2018.11.028,,,
articles:22465,10.1007/s00382-018-4288-y,GC15-504,,
articles:22464,10.1007/s10584-019-02387-9,,,
articles:22356,10.5194/gmd-12-879-2019,"DE-SC0016015,1629819,NNX16AK51G,NA12OAR4320071,DE-NA0003525","DE-SC0016015,1629819,NNX16AK51G,NA12OAR4320071",
articles:22391,10.1007/s00484-019-01673-6,,,
articles:22319,10.1175/JCLI-D-18-0444.1,,n/a,
articles:22321,10.1175/JCLI-D-18-0301.1,2017YFE0111700,2017YFE0111700,
articles:22322,10.1002/nla.2220,,,
articles:22358,10.5194/amt-12-1409-2019,"171S-5-3-1874,NNX16AE43G,KMI2018-06810",,
articles:22357,10.5194/amt-12-1393-2019,"LACy/UMR8105,NA13OAR4310086,DP160101598,DP140101552,DP110103118,DP0879468,LE0668470,FR/35/IC1 to IC3",,
articles:22392,10.1364/OL.44.001249,"IIP-1500166,NNX16AO46H","IIP-1500166,NNX16AO46H",
articles:22408,10.1039/C8PP90064G,,,
